date,game_id,home_team_fl,team,PTS,ORebs,DRebs,AST,TO,STL,BLK,Fouls,fg_pct,three_pt_pct,ft_pct,efg,pace
11/10/2017,4443371,0,Belmont,82,9,9,20,16,4,4,27,49.2,32.300000000000004,66.7,56.89999999999999,77.28
11/10/2017,4443371,1, Washington,86,7,7,8,15,12,3,18,53.800000000000004,36.4,72.2,57.699999999999996,75.84
11/13/2017,4443846,0,Vanderbilt,60,9,9,5,15,3,2,26,35.4,17.4,71,39.6,67.64
11/13/2017,4443846,1,Belmont,69,7,7,8,10,4,1,27,40.699999999999996,22.2,73.1,46.300000000000004,68.44
11/16/2017,4445414,0,Belmont,69,8,8,16,17,3,3,13,45.300000000000004,45.5,84.6,54.7,67.72
11/16/2017,4445414,1, Middle Tenn.,63,12,12,14,12,9,5,19,40.300000000000004,29.4,72.7,44.4,66.84
11/18/2017,4447280,0,Houston Baptist,88,12,12,19,9,8,3,25,41.099999999999994,48,64,49.3,81
11/18/2017,4447280,1,Belmont,93,11,11,19,14,4,0,18,43.5,34.9,82.8,55.60000000000001,77.76
11/19/2017,4448057,0,Seattle U,77,10,10,15,8,2,2,16,45,38.7,68.8,55.00000000000001,65.04
11/19/2017,4448057,1,Belmont,90,5,5,11,7,4,4,13,59.3,51.9,75,72.2,63.04
11/22/2017,4450384,0,Belmont,65,8,8,15,12,6,4,14,46.9,33.300000000000004,72.7,58.199999999999996,57.84
11/22/2017,4450384,1, Providence,66,15,15,7,9,5,1,13,39.7,28.599999999999998,100,44.4,61.400000000000006
11/27/2017,4453078,0,Lipscomb,74,5,5,15,13,6,5,16,47.4,50,66.7,56.10000000000001,71.6
11/27/2017,4453078,1,Belmont,66,9,9,13,13,7,2,16,35,30.3,70,43.3,72.8
11/29/2017,4454254,0,Belmont,76,1,1,24,13,5,4,17,50.8,31.4,83.3,60.199999999999996,73.64
11/29/2017,4454254,1, TCU,87,11,11,20,11,11,0,11,50.8,47.4,73.7,57.9,71.36
12/02/2017,4456450,0,Green Bay,75,5,5,12,15,12,2,23,42.9,34.5,73.3,50.8,79.6
12/02/2017,4456450,1,Belmont,86,6,6,21,16,8,3,16,49.2,36.4,72.7,59.3,78.68
12/04/2017,4457502,0,Belmont,54,9,9,8,21,5,6,20,34,19.400000000000002,75,39.6,72.03999999999999
12/04/2017,4457502,1, Lipscomb,69,9,9,10,16,8,3,19,41.699999999999996,40.9,71.39999999999999,49.2,73.16
12/13/2017,4461748,0,Milwaukee,63,9,9,10,8,6,2,22,38.5,27.3,77.8,43.1,67.96
12/13/2017,4461748,1,Belmont,82,8,8,13,13,2,1,11,50,42.4,75,64,65.56
12/16/2017,4462973,0,Pepperdine,62,3,3,8,14,5,1,10,53.300000000000004,13.3,85.7,55.60000000000001,62.16
12/16/2017,4462973,1,Belmont,79,9,9,18,14,9,4,16,53.6,45.7,75,67.9,62.76
12/19/2017,4464323,0,Belmont,75,9,9,16,11,2,0,13,46.400000000000006,38.9,75,58.9,63.28
12/19/2017,4464323,1, Western Ky.,72,10,10,8,5,6,2,13,45.5,8.3,100,46.2,65.84
12/28/2017,4465760,0,Belmont,94,7,7,21,10,4,5,21,60,50,80,71.7,67.4
12/28/2017,4465760,1, Southeast Mo. St.,72,12,12,13,12,7,0,13,40.699999999999996,39.1,65.2,48.3,69.12
12/30/2017,4466957,0,Belmont,65,8,8,19,6,4,5,10,42.9,29.4,70,51.800000000000004,58.4
12/30/2017,4466957,1, UT Martin,58,6,6,16,5,4,3,14,38.6,29.2,77.8,44.7,59.96
01/04/2018,4469197,0,Tennessee Tech,67,8,8,13,13,4,4,14,44.1,50,83.3,52.5,66.64
01/04/2018,4469197,1,Belmont,80,4,4,14,14,6,5,12,56.89999999999999,44,100,67.60000000000001,65.84
01/06/2018,4470632,0,Jacksonville St.,64,7,7,14,18,8,4,18,50,30.8,75,53.7,68.52000000000001
01/06/2018,4470632,1,Belmont,60,17,17,9,18,12,1,13,35.6,20.599999999999998,73.3,41.5,66.6
01/11/2018,4473117,0,Belmont,76,8,8,14,14,5,2,18,47.199999999999996,35.699999999999996,72.7,56.599999999999994,68.68
01/11/2018,4473117,1, SIUE,61,7,7,11,15,5,3,21,41.5,37.5,73.3,47.199999999999996,67.6
01/13/2018,4474463,0,Belmont,75,8,8,17,19,5,4,14,50.9,52,72.7,63.2,68.84
01/13/2018,4474463,1, Eastern Ill.,66,12,12,9,13,8,7,15,38.7,33.300000000000004,92.30000000000001,43.5,68.72
01/18/2018,4476969,0,Murray St.,72,15,15,12,9,5,4,14,41.8,36,58.3,48.5,66.28
01/18/2018,4476969,1,Belmont,79,7,7,15,11,2,4,10,50.9,46.7,77.8,63.2,64.96000000000001
01/25/2018,4480973,0,Eastern Ill.,59,5,5,10,17,6,2,20,46.2,26.3,75,51,67.52000000000001
01/25/2018,4480973,1,Belmont,81,9,9,16,11,5,1,13,50,35.699999999999996,85,59.3,64.8
01/27/2018,4482588,0,SIUE,72,8,8,7,16,3,1,27,43.9,40,87.5,50.9,72.04
01/27/2018,4482588,1,Belmont,83,10,10,13,9,7,1,15,45.5,36,75,53.6,68.08
02/01/2018,4484804,0,Belmont,98,4,4,21,6,10,2,12,61.8,50,68,73.6,68
02/01/2018,4484804,1, Eastern Ky.,63,5,5,8,17,3,1,16,42.6,32,100,50,69.96000000000001
02/03/2018,4486137,0,Belmont,83,4,4,13,11,6,3,16,52.800000000000004,34.8,79.2,60.4,70.56
02/03/2018,4486137,1, Morehead St.,73,12,12,13,11,4,3,20,41.199999999999996,33.300000000000004,58.3,48.5,72.28
02/08/2018,4489967,0,Belmont,56,4,4,16,14,3,0,22,44.7,28.599999999999998,66.7,53.2,60.96
02/08/2018,4489967,1, Tennessee St.,64,6,6,9,11,5,3,15,39.1,30.4,80.80000000000001,46.7,62.44
02/10/2018,4492185,0,Belmont,75,11,11,12,9,5,2,22,36.7,23.3,80,42.5,71.2
02/10/2018,4492185,1, Tennessee Tech,70,8,8,10,12,7,4,27,41.8,30,69.19999999999999,47.3,70.44
02/15/2018,4495710,0,Eastern Ky.,73,6,6,11,10,8,3,11,49.1,38.1,75,56.10000000000001,66.28
02/15/2018,4495710,1,Belmont,84,10,10,16,14,3,2,13,58.599999999999994,45.2,28.599999999999998,70.7,65.08
02/17/2018,4498700,0,Morehead St.,65,11,11,8,8,2,0,17,42.199999999999996,13.3,47.4,43.8,69.36
02/17/2018,4498700,1,Belmont,108,9,9,25,6,3,1,16,60.6,44.4,70.6,72.7,70.48
02/22/2018,4503229,0,Belmont,67,8,8,15,9,7,0,14,39.1,38.2,44.4,49.2,68.96
02/22/2018,4503229,1, Jacksonville St.,78,11,11,25,9,2,7,14,47.599999999999994,43.8,73.3,53.2,67.6
02/24/2018,4505476,0,Tennessee St.,59,12,12,11,9,9,4,15,36.1,31.6,81.8,41,62.84
02/24/2018,4505476,1,Belmont,84,7,7,19,14,5,4,14,56.599999999999994,52.6,36.4,75.5,64.84
03/03/2018,4513330,0,Murray St.,51,7,7,10,13,1,2,14,36.4,21.4,71.39999999999999,41.8,64.08
03/03/2018,4513330,1,Belmont,68,13,13,9,6,9,3,14,38.5,28.999999999999996,81.8,45.4,62.84
11/10/2017,4443237,0,Johnson (FL),66,13,13,11,18,8,3,17,39.7,26.700000000000003,44.4,42.6,80.92
11/10/2017,4443237,1,Bethune-Cookman,108,14,14,23,20,8,7,22,60.6,57.099999999999994,69.6,69.69999999999999,82.12
11/13/2017,4443614,0,Bethune-Cookman,74,11,11,7,16,7,4,26,35,20,77.8,38.3,80.84
11/13/2017,4443614,1, UTRGV,92,14,14,22,17,7,6,31,42.199999999999996,39.300000000000004,77.10000000000001,50.8,82.4
11/16/2017,4445430,0,Bethune-Cookman,78,15,15,7,15,4,8,27,38.4,25.900000000000002,65.2,43.2,83.12
11/16/2017,4445430,1, North Texas,90,8,8,10,13,5,1,22,50,27.800000000000004,67.60000000000001,54.2,81.28
11/19/2017,4447988,0,Bethune-Cookman,62,14,14,13,15,7,5,23,36.4,42.9,40,47.3,67
11/19/2017,4447988,1, Georgia Tech,65,16,16,14,19,6,10,18,39.2,12.5,77.4,40.2,67.64
11/21/2017,4449691,0,Grambling,78,11,11,17,12,8,2,22,40.6,27.3,70.39999999999999,42.8,81.88
11/21/2017,4449691,1,Bethune-Cookman,87,8,8,22,20,4,11,25,55.400000000000006,46.2,50,66.10000000000001,79.44
11/25/2017,4451484,0,Florida Col.,67,13,13,12,15,9,3,17,31.4,24.3,70,37.9,80.8
11/25/2017,4451484,1,Bethune-Cookman,95,20,20,25,11,10,4,13,45.1,27,64.7,51.2,80.48
11/30/2017,4454829,0,Bethune-Cookman,77,18,18,13,13,9,2,23,34.300000000000004,25,82.1,40.300000000000004,74.32
11/30/2017,4454829,1, Jacksonville,66,15,15,15,18,3,4,22,36.9,23.799999999999997,59.099999999999994,40.8,77.68
12/02/2017,4456532,0,Bethune-Cookman,75,9,9,9,16,9,1,29,42,21.7,50,45.7,86.56
12/02/2017,4456532,1, Fla. Atlantic,93,10,10,20,16,5,4,22,44.4,36.4,69,50.8,87.48
12/08/2017,4459398,0,Boston U.,90,5,5,20,17,5,4,17,64.8,55.60000000000001,62.5,74.1,73.03999999999999
12/08/2017,4459398,1,Bethune-Cookman,87,10,10,15,14,6,2,16,50,35.699999999999996,81,58.3,73.24
12/12/2017,4461429,0,Cal Poly,53,14,14,8,9,5,5,15,33.300000000000004,12,66.7,35.6,64.96
12/12/2017,4461429,1,Bethune-Cookman,67,15,15,13,13,4,6,12,43.1,45.5,57.099999999999994,47.4,65.24
12/14/2017,4462000,0,Bethune-Cookman,63,14,14,12,14,5,4,20,42.4,42.9,53.800000000000004,47.5,64.72
12/14/2017,4462000,1, South Fla.,83,14,14,19,11,6,1,13,55.60000000000001,50,76.2,62,60.24
12/16/2017,4463426,0,Bethune-Cookman,74,15,15,10,14,6,3,28,37.1,26.1,69.6,41.4,79.12
12/16/2017,4463426,1, Kennesaw St.,81,16,16,18,16,7,3,23,45.6,28.599999999999998,64.3,47.4,75.48
12/19/2017,4464414,0,Bethune-Cookman,55,19,19,10,24,4,2,16,28.1,26.1,81.2,32.800000000000004,76.04
12/19/2017,4464414,1, Washington,106,9,9,24,11,16,15,15,62.7,62.5,53.800000000000004,73.9,74.72
12/22/2017,4465192,0,Bethune-Cookman,58,16,16,5,15,7,2,23,31.4,21.4,47.099999999999994,35.699999999999996,76.48
12/22/2017,4465192,1, Washington St.,86,7,7,19,18,6,3,18,45.6,45.5,86.4,58.8,77.68
01/03/2018,4468490,0,South Carolina St.,80,14,14,17,9,4,2,23,44.6,33.300000000000004,53.300000000000004,48.6,75.6
01/03/2018,4468490,1,Bethune-Cookman,86,16,16,22,9,3,6,17,44.4,28.000000000000004,62.5,49.3,75.56
01/06/2018,4472624,0,Bethune-Cookman,92,20,20,21,18,5,4,24,45.300000000000004,39.1,62.5,51.300000000000004,83.56
01/06/2018,4472624,1, Howard,87,10,10,16,12,4,4,24,44.800000000000004,33.300000000000004,69.19999999999999,51.5,80.44
01/08/2018,4471666,0,Bethune-Cookman,89,9,9,17,11,8,1,21,50,30,80,57.99999999999999,71.2
01/08/2018,4471666,1, UMES,84,13,13,13,14,2,2,25,49.2,33.300000000000004,66.7,55.7,72.56
01/13/2018,4474318,0,Florida A&M,81,10,10,14,7,6,3,16,37.9,25,83.89999999999999,41.699999999999996,76.64
01/13/2018,4474318,1,Bethune-Cookman,99,16,16,25,17,4,2,23,56.10000000000001,44.4,81,62.1,76.24
01/15/2018,4475644,0,Bethune-Cookman,74,13,13,12,18,10,0,18,42.9,27.3,73.7,47.599999999999994,76.36
01/15/2018,4475644,1, Stetson,62,9,9,14,16,11,4,20,34.4,29.4,88.2,38.5,75.48
01/20/2018,4479555,0,Bethune-Cookman,86,6,6,14,17,8,3,17,49,37.5,82.89999999999999,58.199999999999996,75.4
01/20/2018,4479555,1, Delaware St.,78,11,11,7,16,7,1,23,46.2,46.7,73.3,51.5,76.6
01/27/2018,4482561,0,Bethune-Cookman,70,15,15,10,19,7,3,24,34.9,19,62.9,38.1,82.4
01/27/2018,4482561,1, Norfolk St.,71,21,21,11,18,5,3,27,32.9,31.8,64,37.7,81
01/29/2018,4483459,0,Bethune-Cookman,69,14,14,13,24,5,2,24,42.6,10.5,56.8,44.4,80.28
01/29/2018,4483459,1, Hampton,80,11,11,16,14,9,2,26,40.300000000000004,21.4,79.4,42.699999999999996,79.96000000000001
02/03/2018,4487902,0,Coppin St.,60,8,8,13,15,5,4,11,38.2,33.300000000000004,60,46.400000000000006,68.6
02/03/2018,4487902,1,Bethune-Cookman,80,14,14,23,18,4,4,13,49.2,48.3,80,60.3,69.2
02/05/2018,4487903,0,Norfolk St.,83,15,15,12,14,8,3,28,42.199999999999996,40,61.8,48.4,77.96000000000001
02/05/2018,4487903,1,Bethune-Cookman,79,15,15,19,16,5,3,26,37.9,22.2,70.7,43.1,77.03999999999999
02/10/2018,4491650,0,UMES,67,6,6,12,13,4,0,19,43.1,27.800000000000004,80,47.4,71.6
02/10/2018,4491650,1,Bethune-Cookman,87,11,11,25,11,6,3,14,49.2,29.599999999999998,85,55.60000000000001,71.8
02/12/2018,4494550,0,N.C. Central,81,12,12,19,16,3,5,21,47.8,26.1,81.8,52.2,77.84
02/12/2018,4494550,1,Bethune-Cookman,99,14,14,20,9,8,7,14,51.5,39.1,71.39999999999999,58.099999999999994,75.32
02/17/2018,4498045,0,Bethune-Cookman,89,9,9,9,19,6,2,20,41.8,31.8,78.3,48.199999999999996,85.24
02/17/2018,4498045,1, Coppin St.,85,12,12,17,17,9,3,29,39.1,34.9,80,50,82.8
02/19/2018,4500863,0,Bethune-Cookman,96,9,9,16,19,9,5,27,50.8,39.1,69.69999999999999,57.9,87.52
02/19/2018,4500863,1, Morgan St.,95,14,14,18,16,7,4,26,45.5,50,78.10000000000001,53,82.08
02/24/2018,4505668,0,Savannah St.,92,18,18,20,8,9,1,18,35.6,23.1,58.099999999999994,42.5,90.64
02/24/2018,4505668,1,Bethune-Cookman,121,14,14,35,17,5,3,25,56.2,48.5,71.39999999999999,66.2,92.24
02/26/2018,4508267,0,N.C. A&T,86,17,17,16,11,5,4,22,42.9,17.599999999999998,65.7,45,79.4
02/26/2018,4508267,1,Bethune-Cookman,80,7,7,15,13,8,6,25,41.5,15.8,85.2,43.8,82.88
03/01/2018,4510539,0,Bethune-Cookman,89,8,8,11,16,5,1,14,57.4,38.5,84.6,62,73.44
03/01/2018,4510539,1, Florida A&M,77,18,18,6,9,11,2,19,38.2,36.4,64.7,43.4,74.48
03/07/2018,4518130,0,Morgan St.,78,15,15,18,9,8,3,25,34.699999999999996,35,75,39.6,78.32
03/07/2018,4518130,1,Bethune-Cookman,77,16,16,10,16,6,7,21,38.1,5,80,38.9,78.4
11/10/2017,4443238,0,Morgan St.,59,14,14,9,18,10,2,20,33.800000000000004,26.700000000000003,73.3,36.9,75.6
11/10/2017,4443238,1,Binghamton,76,10,10,11,20,7,7,21,45.6,47.599999999999994,66.7,54.400000000000006,76.24
11/13/2017,4443532,0,Binghamton,84,7,7,15,7,1,4,25,53.1,35,45,58.599999999999994,72.8
11/13/2017,4443532,1, Cornell,94,8,8,19,7,3,3,17,49.1,47.599999999999994,88.2,58.199999999999996,68.96000000000001
11/16/2017,4445329,0,Binghamton,57,10,10,10,16,7,8,20,41.199999999999996,30,60,47.099999999999994,63.6
11/16/2017,4445329,1, George Mason,69,13,13,15,13,8,2,15,47.3,42.9,47.099999999999994,55.50000000000001,62.480000000000004
11/18/2017,4447610,0,Binghamton,61,7,7,7,18,7,5,16,44,40,52.900000000000006,52,68.48
11/18/2017,4447610,1, Evansville,66,11,11,16,14,7,2,18,41.8,56.2,78.60000000000001,50,64.16
11/21/2017,4449289,0,Montana St.,74,14,14,13,17,5,2,17,44.2,42.1,87,51.9,65.12
11/21/2017,4449289,1,Binghamton,64,8,8,15,18,7,9,19,48.9,39.1,64.3,58.5,63.16
11/22/2017,4450255,0,CSUN,65,5,5,9,12,5,2,17,47.199999999999996,46.2,64.3,52.800000000000004,66.16
11/22/2017,4450255,1,Binghamton,70,10,10,12,9,7,3,14,43.6,32,56.00000000000001,50.9,65
11/26/2017,4452209,0,Hartwick,65,6,6,9,21,5,2,14,42.4,40,62.5,50.8,77.52000000000001
11/26/2017,4452209,1,Binghamton,97,12,12,23,9,9,8,8,52.7,27.3,52.6,58.8,79.36
11/29/2017,4454198,0,Binghamton,85,7,7,17,10,5,1,17,58.5,52,83.3,70.8,61.28
11/29/2017,4454198,1, Delaware St.,64,4,4,11,11,6,3,13,46.800000000000004,33.300000000000004,70,53.2,62.8
12/02/2017,4455895,0,Colgate,65,5,5,10,10,3,4,21,42.1,38.5,77.8,50.9,65.96000000000001
12/02/2017,4455895,1,Binghamton,76,10,10,17,8,5,4,11,44.800000000000004,34.8,72.7,51.7,65.68
12/09/2017,4460006,0,Binghamton,77,6,6,11,11,4,5,13,57.99999999999999,42.9,59.099999999999994,64,64.68
12/09/2017,4460006,1, Loyola Maryland,64,7,7,15,13,7,2,22,48.1,30.8,61.5,51.9,65.72
12/17/2017,4463023,0,Binghamton,51,11,11,12,9,5,5,13,33.900000000000006,39.1,44.4,42,57.96
12/17/2017,4463023,1, Sacred Heart,48,12,12,10,10,3,2,16,31.6,27.800000000000004,58.3,36,60.28
12/19/2017,4464256,0,Binghamton,65,13,13,11,15,8,2,18,40.9,39.1,40,47.699999999999996,70.2
12/19/2017,4464256,1, Penn St.,80,9,9,17,17,7,4,10,57.4,58.8,53.300000000000004,66.7,68.6
12/22/2017,4465199,0,LIU Brooklyn,74,7,7,10,15,2,0,18,56.49999999999999,38.9,60,64.1,65
12/22/2017,4465199,1,Binghamton,66,6,6,10,11,7,0,23,43.4,30,82.39999999999999,49.1,65.48
12/30/2017,4466723,0,Elmira,65,12,12,11,21,7,2,19,38.2,25,54.50000000000001,43.4,81.84
12/30/2017,4466723,1,Binghamton,113,6,6,25,14,10,5,13,66.2,52.400000000000006,84.2,74.6,81.36
01/06/2018,4470870,0,Maine,76,10,10,12,18,6,2,21,48.1,33.300000000000004,77.3,54.6,71.68
01/06/2018,4470870,1,Binghamton,73,14,14,12,15,11,5,18,41.9,27.3,71.39999999999999,46.800000000000004,72.24
01/10/2018,4472390,0,Binghamton,67,3,3,5,6,2,5,21,46.400000000000006,23.5,61.1,50,66.92
01/10/2018,4472390,1, New Hampshire,71,13,13,14,12,2,0,15,38.2,33.300000000000004,88,44.5,65
01/13/2018,4473928,0,Binghamton,65,7,7,13,15,5,0,12,46.9,33.300000000000004,61.1,55.1,64.92
01/13/2018,4473928,1, Hartford,97,6,6,24,7,7,1,12,61.4,78.3,75,77.2,63.28
01/18/2018,4477217,0,Binghamton,66,15,15,12,8,5,9,21,34.8,28.599999999999998,80,40.9,65.6
01/18/2018,4477217,1, Stony Brook,77,16,16,16,11,6,4,16,42.6,40,71.39999999999999,50.8,65.24
01/21/2018,4478841,0,UMass Lowell,79,5,5,16,7,7,2,16,54.50000000000001,40,47.8,61.8,67.12
01/21/2018,4478841,1,Binghamton,71,14,14,10,12,1,3,20,40.699999999999996,33.300000000000004,70.8,45.800000000000004,67.56
01/24/2018,4480277,0,Binghamton,57,14,14,9,14,9,0,18,38.6,25,47.099999999999994,43,64.48
01/24/2018,4480277,1, UMBC,69,6,6,20,12,9,1,16,51,39.1,57.099999999999994,59.8,63.16
01/27/2018,4482270,0,New Hampshire,57,10,10,11,10,2,6,14,32.7,25.900000000000002,72.7,39.4,61.68
01/27/2018,4482270,1,Binghamton,52,8,8,7,6,4,4,16,34.5,33.300000000000004,52.6,38.2,61.36
01/31/2018,4484315,0,Vermont,68,18,18,15,10,5,4,13,42.4,25,70,46.2,62.400000000000006
01/31/2018,4484315,1,Binghamton,54,8,8,8,14,5,4,17,36.7,36.8,64.7,43.9,62.480000000000004
02/03/2018,4485672,0,Binghamton,79,15,15,12,15,6,2,16,40.8,32.5,66.7,50,76.28
02/03/2018,4485672,1, Maine,81,5,5,16,14,9,3,17,50.9,52.6,61.9,59.599999999999994,75.24
02/08/2018,4489704,0,UMBC,78,6,6,18,5,6,6,15,49.2,36.4,85.7,55.900000000000006,64.16
02/08/2018,4489704,1,Binghamton,68,12,12,16,11,0,2,15,41.9,33.300000000000004,66.7,48.4,66.28
02/15/2018,4495634,0,Stony Brook,57,7,7,10,13,8,4,18,34,33.300000000000004,84.2,38.7,67.36
02/15/2018,4495634,1,Binghamton,69,10,10,11,12,6,6,16,38.9,36,66.7,47.199999999999996,67.88
02/18/2018,4499453,0,Binghamton,69,10,10,10,18,6,4,23,43.9,22.2,63.6,47,78.84
02/18/2018,4499453,1, UMass Lowell,74,5,5,15,12,7,4,13,38.2,38.1,72.7,45.5,76.52
02/21/2018,4502150,0,Binghamton,54,8,8,7,10,5,4,16,37.9,31.6,57.099999999999994,43.1,63.08
02/21/2018,4502150,1, Vermont,75,8,8,15,9,3,4,9,52.7,44.4,64.3,60,62.16
02/24/2018,4505195,0,Hartford,67,6,6,10,3,6,3,10,40.400000000000006,15.8,78.3,43,64.12
02/24/2018,4505195,1,Binghamton,57,3,3,15,11,2,2,17,39.300000000000004,50,50,48.199999999999996,66.64
11/10/2017,4441039,0,Eastern Ore.,65,5,5,8,15,4,2,23,43.3,20,50,45.800000000000004,78.8
11/10/2017,4441039,1,Boise St.,104,10,10,21,13,7,4,21,54,48.6,76,67.5,77
11/12/2017,4442666,0,Southern Utah,69,3,3,7,12,5,2,20,44.6,28.599999999999998,72.2,50,72.92
11/12/2017,4442666,1,Boise St.,90,2,2,16,11,5,4,20,57.599999999999994,44.4,83.3,67.80000000000001,73.28
11/16/2017,4445201,0,UTEP,58,8,8,10,9,4,5,19,35,30.8,61.5,41.699999999999996,66.72
11/16/2017,4445201,1,Boise St.,56,14,14,10,13,5,8,14,34.4,22.2,66.7,37.7,66.6
11/17/2017,4445672,0,Illinois St.,64,9,9,13,9,10,7,27,34.8,23.5,71.39999999999999,40.9,72.16
11/17/2017,4445672,1,Boise St.,82,20,20,16,21,5,2,18,40,44.4,74.3,50.9,71.4
11/19/2017,4448231,0,Iowa St.,64,8,8,9,10,6,3,17,40.300000000000004,36.7,50,49.2,66.64
11/19/2017,4448231,1,Boise St.,75,10,10,14,8,5,2,8,47.599999999999994,27.800000000000004,76.9,51.6,66.72
11/25/2017,4451883,0,Loyola Marymount,48,3,3,5,11,8,1,19,31.6,20.8,70,36,69.4
11/25/2017,4451883,1,Boise St.,68,12,12,10,17,3,3,15,38.9,34.599999999999994,81,47.199999999999996,68.24000000000001
11/28/2017,4453598,0,Loyola Chicago,53,3,3,9,13,5,4,11,36.8,31.2,60,41.199999999999996,71.4
11/28/2017,4453598,1,Boise St.,87,7,7,17,15,8,5,13,53.2,57.099999999999994,83.3,66.10000000000001,72.64
12/01/2017,4455439,0,Boise St.,73,11,11,10,14,3,2,14,43.6,36.8,72,50,69
12/01/2017,4455439,1, Oregon,70,8,8,11,8,4,3,22,44.3,26.1,100,49.2,65.4
12/03/2017,4456957,0,Portland,54,7,7,11,14,4,4,12,35.199999999999996,40.9,46.7,43.5,67.6
12/03/2017,4456957,1,Boise St.,77,9,9,18,15,5,1,19,47.5,44.1,80,59.8,69.2
12/09/2017,4460098,0,Sacramento St.,54,3,3,12,18,7,1,13,38.2,26.3,77.8,42.699999999999996,73.96000000000001
12/09/2017,4460098,1,Boise St.,77,5,5,19,16,7,1,17,49.1,43.3,66.7,60.5,73.28
12/13/2017,4461794,0,Grand Canyon,80,14,14,16,14,6,3,29,35.4,28.1,78.9,41.099999999999994,87.36
12/13/2017,4461794,1,Boise St.,85,7,7,10,18,3,3,20,47.5,20.8,64.9,51.7,86.28
12/18/2017,4463806,0,Boise St.,63,12,12,13,11,7,0,11,37.7,31.2,50,45.9,66.16
12/18/2017,4463806,1, SMU,86,7,7,21,12,7,5,19,58.9,50,75,68.8,66.28
12/27/2017,4465554,0,Colorado St.,71,8,8,8,13,4,3,18,41,37.5,93.8,45.9,73.04
12/27/2017,4465554,1,Boise St.,93,12,12,16,11,6,1,17,54,42.9,68.4,63.5,70.36
12/30/2017,4467065,0,Boise St.,83,13,13,13,15,4,4,22,50.8,38.5,63.2,54.6,75.36
12/30/2017,4467065,1, UNLV,74,7,7,16,7,5,3,16,40.300000000000004,27.3,63.6,44.800000000000004,76.68
01/03/2018,4468685,0,New Mexico,62,5,5,12,13,7,0,16,34.9,22.2,80,39.7,77.6
01/03/2018,4468685,1,Boise St.,90,9,9,18,17,8,1,15,59.4,44.4,50,65.60000000000001,77.28
01/06/2018,4470865,0,Boise St.,78,12,12,11,18,8,1,26,39.7,20.8,70.39999999999999,43.4,85.88
01/06/2018,4470865,1, Wyoming,79,2,2,17,14,8,4,19,44.1,25.900000000000002,62.5,50,85.08
01/09/2018,4472059,0,Boise St.,70,7,7,9,11,3,1,25,43.8,25,75.8,46.9,66.52
01/09/2018,4472059,1, Fresno St.,64,7,7,14,9,7,3,27,38.2,28.599999999999998,72,41.8,68
01/13/2018,4474798,0,San Diego St.,80,11,11,15,8,5,2,17,47.699999999999996,34.8,83.3,53.800000000000004,67.28
01/13/2018,4474798,1,Boise St.,83,9,9,11,15,4,1,13,54.900000000000006,50,81.2,68.60000000000001,64.03999999999999
01/17/2018,4476510,0,Utah St.,67,3,3,10,14,4,1,13,50,34.8,87.5,57.699999999999996,66.52000000000001
01/17/2018,4476510,1,Boise St.,71,4,4,8,8,2,1,8,46.6,44.4,81.8,53.400000000000006,66.84
01/20/2018,4478631,0,Boise St.,68,13,13,11,15,8,3,21,42.199999999999996,14.299999999999999,68.8,44.5,73.04
01/20/2018,4478631,1, Nevada,74,9,9,16,11,5,4,17,40,34.599999999999994,85,47.5,70.8
01/24/2018,4480565,0,San Jose St.,71,2,2,16,17,3,1,14,53.800000000000004,57.099999999999994,53.800000000000004,61.5,72.72
01/24/2018,4480565,1,Boise St.,94,6,6,25,9,9,3,14,53.1,47.4,88.9,67.2,70.96
02/03/2018,4486723,0,UNLV,91,5,5,14,9,3,4,24,53.300000000000004,27.3,91.3,58.3,74.12
02/03/2018,4486723,1,Boise St.,93,10,10,17,7,4,1,20,46,40.6,73.3,56.3,73.2
02/06/2018,4488488,0,Boise St.,73,14,14,6,10,8,1,14,43.5,33.300000000000004,88.2,46.800000000000004,65.48
02/06/2018,4488488,1, New Mexico,71,3,3,15,11,8,6,15,46.2,47.8,75,56.699999999999996,67.03999999999999
02/10/2018,4492186,0,Boise St.,65,11,11,8,16,6,3,14,46.300000000000004,31.2,76.9,50.9,64.72
02/10/2018,4492186,1, Utah St.,71,6,6,17,10,10,2,13,48.199999999999996,36,72.7,56.2,64.84
02/14/2018,4495190,0,Nevada,77,7,7,10,9,2,2,10,48.3,43.8,66.7,54.300000000000004,69.24
02/14/2018,4495190,1,Boise St.,72,13,13,11,8,5,6,16,40,19.2,91.7,43.6,70.28
02/21/2018,4502643,0,Boise St.,87,18,18,13,16,12,2,24,46.2,30,75,53.1,73.56
02/21/2018,4502643,1, Colorado St.,54,11,11,9,18,8,3,19,28.299999999999997,23.5,69,32.1,72.76
02/27/2018,4509176,0,Boise St.,64,8,8,11,17,4,0,26,39.6,29.599999999999998,72,47.9,68
02/27/2018,4509176,1, San Diego St.,72,7,7,14,8,10,0,20,45.300000000000004,6.2,79.3,46.2,66.76
03/03/2018,4513301,0,Wyoming,87,6,6,18,12,5,2,29,52.5,48.3,50,64.4,74.68
03/03/2018,4513301,1,Boise St.,95,12,12,11,12,5,2,25,50,44.4,79.4,56.699999999999996,74.96000000000001
03/08/2018,4519130,0,Utah St.,78,2,2,16,14,4,0,16,46.300000000000004,56.00000000000001,77.8,59.3,73.92
