date,game_id,home_team_fl,team,PTS,ORebs,DRebs,AST,TO,STL,BLK,Fouls,fg_pct,three_pt_pct,ft_pct,efg,pace
02/14/2018,4495107,0,SFA,87,9,9,19,14,10,3,19,48,50,73.2,56.99999999999999,73.03999999999999
02/14/2018,4495107,1,A&M-Corpus Christi,68,11,11,16,19,4,2,26,40,38.9,77.3,46.400000000000006,72.68
02/17/2018,4498077,0,A&M-Corpus Christi,76,8,8,16,8,3,3,18,50.9,42.1,76.9,57.9,62.72
02/17/2018,4498077,1, Lamar University,79,9,9,20,7,1,1,17,53.6,33.300000000000004,66.7,59.8,61.92
02/22/2018,4502904,0,A&M-Corpus Christi,76,9,9,5,13,10,2,22,50,0,81.8,50,71.68
02/22/2018,4502904,1, Abilene Christian,67,9,9,7,16,8,1,21,42.6,16.7,63,46.300000000000004,72.88
02/24/2018,4504935,0,Incarnate Word,69,10,10,16,18,6,0,16,44,52.400000000000006,77.8,55.00000000000001,65.92
02/24/2018,4504935,1,A&M-Corpus Christi,62,10,10,8,13,9,5,19,39.300000000000004,25,68.4,43.8,67.36
02/28/2018,4510071,0,McNeese,70,5,5,13,10,9,3,14,44.1,26.900000000000002,75,49.3,74.76
02/28/2018,4510071,1,A&M-Corpus Christi,82,11,11,15,14,4,2,7,49.2,42.1,85.7,55.60000000000001,72.16
03/03/2018,4513318,0,A&M-Corpus Christi,92,12,12,11,13,4,2,30,50.8,50,65.7,56.599999999999994,77.4
03/03/2018,4513318,1, Houston Baptist,87,17,17,10,14,5,1,23,46.7,47.4,53.7,54.2,75.03999999999999
03/07/2018,4524694,0,New Orleans,76,8,8,7,14,8,2,29,41.8,25,78.8,45.5,75.52
03/07/2018,4524694,1,A&M-Corpus Christi,83,10,10,14,21,6,3,25,57.099999999999994,44.4,65.7,61.199999999999996,75.4
11/10/2017,4443088,0,Randall,68,12,12,11,17,4,2,23,36.6,34.5,54.50000000000001,43.7,80.84
11/10/2017,4443088,1,Abilene Christian,86,10,10,16,18,9,5,18,52.5,25,64.3,55.7,81.32
11/13/2017,4443580,0,Abilene Christian,69,6,6,11,14,4,2,24,51,17.599999999999998,80,54.1,65.8
