pitch_x,pitch_y,pitch_type,strike
-73,91,FB,0
-64,104,FB,0
-35,-94,FB,0
77,4,FB,0
12,-4,FB,1
-65,-64,FB,1
-25,-93,BRK,0
5,-10,FB,0
4,47,FB,1
-69,106,FB,0
79,-15,FB,0
-29,-113,BRK,0
-50,13,FB,1
-57,110,FB,0
9,63,FB,1
33,-83,BRK,0
-3,-114,BRK,0
15,-103,FB,0
-65,-97,BRK,0
-2,-99,FB,0
44,12,FB,1
-10,-9,FB,1
-74,114,FB,0
-76,118,FB,0
46,-102,FB,0
34,-108,FB,0
17,28,FB,1
38,-103,FB,0
-47,70,FB,1
-62,-68,FB,1
-71,-103,FB,0
-45,-99,BRK,0
64,98,FB,0
-58,-98,BRK,0
-42,-98,BRK,0
-7,111,FB,0
8,69,FB,1
82,-4,FB,0
-15,-102,BRK,0
25,-102,FB,0
13,109,FB,0
35,-103,FB,0
31,-4,BRK,1
32,-96,FB,0
-74,106,BRK,0
-40,5,BRK,0
14,-39,FB,1
85,-17,FB,0
65,-107,BRK,0
-12,-34,FB,1
-23,-42,FB,1
86,-81,FB,0
-47,-5,FB,1
-35,-106,BRK,0
-7,105,FB,0
14,-93,CHG,0
-56,-104,FB,0
-50,9,FB,1
-42,97,FB,0
38,8,FB,1
4,98,FB,0
1,-4,FB,1
-11,123,FB,0
51,19,FB,1
-64,-81,BRK,0
-82,-23,FB,0
0,-64,BRK,1
-8,-63,BRK,1
-3,96,FB,0
-49,103,BRK,0
16,-103,BRK,0
37,-103,FB,0
-30,106,FB,0
16,-104,BRK,0
36,-8,FB,1
41,-93,FB,0
-10,-34,FB,0
75,-34,FB,0
4,119,FB,0
19,-32,BRK,1
72,94,BRK,0
7,113,FB,0
-12,101,FB,0
-10,-104,FB,0
15,-32,FB,1
30,119,BRK,0
-59,111,FB,0
-20,103,FB,0
-23,-3,BRK,1
-21,111,BRK,0
58,-95,BRK,0
-63,-101,FB,0
71,19,FB,0
-39,101,FB,0
-25,14,BRK,1
-17,105,FB,0
41,-22,FB,1
-20,-6,FB,1
-86,42,FB,0
-5,69,FB,1
1,26,BRK,0
-25,-27,FB,1
-58,-13,FB,1
-54,119,FB,0
19,90,BRK,0
10,-120,FB,0
11,-103,FB,0
-42,-95,FB,0
90,-25,FB,0
69,-104,FB,0
38,-6,FB,1
48,-108,FB,0
57,-90,BRK,0
27,71,FB,1
19,112,FB,0
33,-117,BRK,0
84,-93,FB,0
28,-43,FB,0
41,-117,FB,0
45,4,FB,1
53,-102,BRK,0
54,-20,FB,1
58,-100,FB,0
27,-105,BRK,0
-34,-115,FB,0
4,35,FB,1
-11,106,FB,0
-2,100,FB,0
-46,36,FB,1
-26,-101,FB,0
11,111,FB,0
8,118,FB,0
30,-109,FB,0
80,-21,FB,0
20,-21,FB,1
-40,120,CHG,0
-44,-93,CHG,0
29,-13,FB,1
